experiment	trialID	fulltrial	condition	optimal_decisions	total_decisions	world	suboptimal_steps	optimal_steps	steps	path
E1E2	4.mp4	1	pseudo_random	4	8	cathedral2	8	24	30	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);p(6,4);p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);
E1E2	5.mp4	1	pseudo_random	4	9	roomG2	9	24	29	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);p(0,4);p(0,5);p(1,5);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(6,2);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);
E1E2	6.mp4	1	pseudo_random	3	13	cubicles2	17	32	49	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(4,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);p(0,7);p(1,7);p(1,6);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(3,3);p(3,2);p(3,1);p(4,1);p(4,0);p(4,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(4,7);p(5,7);
E1E2	7.mp4	1	pseudo_random	6	21	labyrinth2	6	20	28	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(1,3);p(0,3);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);
E1E2	8.mp4	1	suboptimal_unlucky	3	4	tworooms2	2	19	21	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);p(1,5);
E1E2	9.mp4	1	suboptimal_unlucky	4	5	lab2	1	29	30	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);p(0,3);
E1E2	10.mp4	1	suboptimal_unlucky	1	4	ikea2	3	17	20	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);p(0,6);p(0,7);p(1,7);p(2,7);p(3,7);p(4,7);p(5,7);p(5,6);
E1E2	11.mp4	1	suboptimal_unlucky	1	4	museum2	3	26	29	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);p(6,0);
E1E2	12.mp4	1	suboptimal_lucky	0	2	bunker22	3	11	14	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(4,4);p(5,4);p(5,5);p(5,6);p(5,7);p(4,7);
E1E2	13.mp4	1	suboptimal_lucky	2	3	cubicles2	1	12	13	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(5,6);p(5,7);
E1E2	14.mp4	1	suboptimal_lucky	0	2	roomG2	2	11	13	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);
E1E2	15.mp4	1	suboptimal_lucky	0	1	lab2	1	7	8	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(1,2);p(0,2);p(0,3);
E1E2	16.mp4	1	optimal_unlucky	2	2	roomG2	0	19	19	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);
