subject	date	video	rating	time	trialNo
S100307	22/June/2018	1.mp4	4	20857;36800;	1
S100307	22/June/2018	2.mp4	3	26230;52526;	2
S100307	22/June/2018	3.mp4	2	2363;	3
S100307	22/June/2018	11.mp4	3	43521;10504;	4
S100307	22/June/2018	14.mp4	5	18461;7593;	5
S100307	22/June/2018	33.mp4	4	15034;	6
S100307	22/June/2018	29.mp4	3	11692;	7
S100307	22/June/2018	12.mp4	3	21735;2592;	8
S100307	22/June/2018	16.mp4	5	26594;7607;	9
S100307	22/June/2018	19.mp4	4	26468;	10
S100307	22/June/2018	24.mp4	4	23252;	11
S100307	22/June/2018	17.mp4	3	16968;5351;	12
S100307	22/June/2018	15.mp4	5	18508;	13
S100307	22/June/2018	5.mp4	1	39163;4536;	14
S100307	22/June/2018	10.mp4	2	27870;2559;	15
S100307	22/June/2018	9.mp4	2	40209;1777;	16
S100307	22/June/2018	22.mp4	4	31558;2169;	17
S100307	22/June/2018	31.mp4	3	13583;3327;	18
S100307	22/June/2018	18.mp4	3	30102;6719;	19
S100307	22/June/2018	13.mp4	4	21275;3199;	20
S100307	22/June/2018	26.mp4	4	14339;	21
S100307	22/June/2018	28.mp4	2	23195;	22
S100307	22/June/2018	23.mp4	4	22480;3016;	23
S100307	22/June/2018	7.mp4	1	38927;4479;	24
S100307	22/June/2018	34.mp4	3	16206;	25
S100307	22/June/2018	27.mp4	4	15214;	26
S100307	22/June/2018	20.mp4	4	22665;12944;	27
S100307	22/June/2018	30.mp4	3	12986;	28
S100307	22/June/2018	4.mp4	1	42699;6135;	29
S100307	22/June/2018	35.mp4	4	13440;	30
S100307	22/June/2018	21.mp4	5	18415;	31
S100307	22/June/2018	25.mp4	5	16619;2703;	32
S100307	22/June/2018	32.mp4	4	13814;	33
S100307	22/June/2018	8.mp4	3	34719;2529;	34
S100307	22/June/2018	6.mp4	1	68789;3824;	35
S155074	22/June/2018	1.mp4	4	16544;4642;	1
S155074	22/June/2018	2.mp4	4	22854;	2
S155074	22/June/2018	3.mp4	1	1670;	3
S155074	22/June/2018	9.mp4	4	77720;7830;	4
S155074	22/June/2018	7.mp4	2	38817;2790;	5
S155074	22/June/2018	31.mp4	5	19277;1565;	6
S155074	22/June/2018	10.mp4	3	30046;2647;	7
S155074	22/June/2018	26.mp4	5	19407;	8
S155074	22/June/2018	11.mp4	5	71631;2315;	9
S155074	22/June/2018	12.mp4	4	22182;6369;	10
S155074	22/June/2018	34.mp4	5	22983;	11
S155074	22/June/2018	19.mp4	4	24747;	12
S155074	22/June/2018	33.mp4	4	13996;	13
S155074	22/June/2018	22.mp4	5	19546;8374;	14
S155074	22/June/2018	27.mp4	4	19225;	15
S155074	22/June/2018	21.mp4	4	19919;	16
S155074	22/June/2018	20.mp4	4	25161;2211;	17
S155074	22/June/2018	5.mp4	1	44215;	18
S155074	22/June/2018	8.mp4	4	32315;4508;	19
S155074	22/June/2018	32.mp4	3	32774;	20
S155074	22/June/2018	13.mp4	4	25277;1952;	21
S155074	22/June/2018	30.mp4	2	11522;	22
S155074	22/June/2018	15.mp4	5	15274;2657;	23
S155074	22/June/2018	16.mp4	2	126607;64056;	24
S155074	22/June/2018	29.mp4	5	22867;	25
S155074	22/June/2018	6.mp4	4	124135;	26
S155074	22/June/2018	14.mp4	2	20858;9227;	27
S155074	22/June/2018	25.mp4	2	21169;1660;	28
S155074	22/June/2018	24.mp4	4	18600;	29
S155074	22/June/2018	17.mp4	5	18224;7653;	30
S155074	22/June/2018	23.mp4	4	23487;	31
S155074	22/June/2018	4.mp4	1	50039;2081;	32
S155074	22/June/2018	18.mp4	5	56351;	33
S155074	22/June/2018	28.mp4	4	15982;	34
S155074	22/June/2018	35.mp4	3	12679;	35
S161305	22/June/2018	1.mp4	4	-3565120;182285;	1
S161305	22/June/2018	2.mp4	2	24328;20156;	2
S161305	22/June/2018	3.mp4	1	2080;	3
S161305	22/June/2018	28.mp4	3	32915;	4
S161305	22/June/2018	17.mp4	3	17758;8993;	5
S161305	22/June/2018	11.mp4	2	38592;	6
S161305	22/June/2018	4.mp4	1	43397;3885;	7
S161305	22/June/2018	24.mp4	5	20227;	8
S161305	22/June/2018	33.mp4	4	28737;	9
S161305	22/June/2018	26.mp4	5	16942;	10
S161305	22/June/2018	30.mp4	3	13342;	11
S161305	22/June/2018	9.mp4	1	43884;5068;	12
S161305	22/June/2018	15.mp4	4	16215;8942;	13
S161305	22/June/2018	32.mp4	4	15203;	14
S161305	22/June/2018	20.mp4	5	23687;3806;	15
S161305	22/June/2018	25.mp4	5	17455;2642;	16
S161305	22/June/2018	34.mp4	4	14040;	17
S161305	22/June/2018	21.mp4	5	19391;	18
S161305	22/June/2018	29.mp4	4	10990;	19
S161305	22/June/2018	22.mp4	5	18546;1881;	20
S161305	22/June/2018	6.mp4	1	65430;2764;	21
S161305	22/June/2018	13.mp4	5	67914;1777;	22
S161305	22/June/2018	12.mp4	4	22640;2478;	23
S161305	22/June/2018	14.mp4	4	19901;3907;	24
S161305	22/June/2018	18.mp4	5	26264;4166;	25
S161305	22/June/2018	35.mp4	3	13369;	26
S161305	22/June/2018	8.mp4	4	29213;1694;	27
S161305	22/June/2018	27.mp4	5	15468;	28
S161305	22/June/2018	7.mp4	2	47474;2708;	29
S161305	22/June/2018	31.mp4	2	15540;2360;	30
S161305	22/June/2018	10.mp4	2	37374;2340;	31
S161305	22/June/2018	5.mp4	2	39655;2578;	32
S161305	22/June/2018	19.mp4	5	26487;	33
S161305	22/June/2018	16.mp4	4	38216;2596;	34
S161305	22/June/2018	23.mp4	5	22429;5027;	35
S17111907	29/June/2018	1.mp4	5	16882;22010;	1
S17111907	29/June/2018	2.mp4	3	21316;4593;	2
S17111907	29/June/2018	3.mp4	1	1572;	3
S17111907	29/June/2018	14.mp4	3	20245;	4
S17111907	29/June/2018	9.mp4	1	41181;	5
S17111907	29/June/2018	19.mp4	5	24857;	6
S17111907	29/June/2018	12.mp4	2	-2852101;	7
S17111907	29/June/2018	17.mp4	5	15342;2536;	8
S17111907	29/June/2018	13.mp4	1	20383;3325;	9
S17111907	29/June/2018	22.mp4	5	20709;2626;	10
S17111907	29/June/2018	4.mp4	1	41867;1781;	11
S17111907	29/June/2018	23.mp4	5	21524;1279;	12
S17111907	29/June/2018	32.mp4	4	15212;	13
S17111907	29/June/2018	15.mp4	4	13551;1576;	14
S17111907	29/June/2018	30.mp4	3	11246;	15
S17111907	29/June/2018	5.mp4	1	39558;3306;	16
S17111907	29/June/2018	31.mp4	3	41647;2172;	17
S17111907	29/June/2018	26.mp4	3	13030;	18
S17111907	29/June/2018	35.mp4	2	15405;	19
S17111907	29/June/2018	33.mp4	4	20152;	20
S17111907	29/June/2018	21.mp4	4	25005;	21
S17111907	29/June/2018	25.mp4	5	100640;	22
S17111907	29/June/2018	11.mp4	5	39480;1649;	23
S17111907	29/June/2018	16.mp4	5	26922;1673;	24
S17111907	29/June/2018	7.mp4	1	39612;1190;	25
S17111907	29/June/2018	27.mp4	4	21185;	26
S17111907	29/June/2018	24.mp4	5	18895;	27
S17111907	29/June/2018	29.mp4	4	14720;	28
S17111907	29/June/2018	8.mp4	2	28642;1853;	29
S17111907	29/June/2018	18.mp4	5	26310;1310;	30
S17111907	29/June/2018	10.mp4	1	27960;	31
S17111907	29/June/2018	20.mp4	5	23396;1525;	32
S17111907	29/June/2018	28.mp4	2	12486;	33
S17111907	29/June/2018	34.mp4	4	13675;	34
S17111907	29/June/2018	6.mp4	1	64948;1495;	35
S180970	22/June/2018	1.mp4	4	27578;7582;	1
S180970	22/June/2018	2.mp4	4	27595;	2
S180970	22/June/2018	3.mp4	2	3338;	3
S180970	22/June/2018	31.mp4	3	21430;18440;	4
S180970	22/June/2018	30.mp4	3	17575;	5
S180970	22/June/2018	23.mp4	4	21387;5736;	6
S180970	22/June/2018	11.mp4	4	42019;7607;	7
S180970	22/June/2018	16.mp4	4	26421;147;	8
S180970	22/June/2018	10.mp4	5	34778;	9
S180970	22/June/2018	22.mp4	4	20639;7865;	10
S180970	22/June/2018	12.mp4	5	21321;2135;	11
S180970	22/June/2018	8.mp4	3	35427;2392;	12
S180970	22/June/2018	14.mp4	5	22631;1354;	13
S180970	22/June/2018	21.mp4	4	24554;	14
S180970	22/June/2018	34.mp4	4	15320;	15
S180970	22/June/2018	9.mp4	2	40372;143;	16
S180970	22/June/2018	32.mp4	4	13789;	17
S180970	22/June/2018	4.mp4	1	40882;1627;	18
S180970	22/June/2018	27.mp4	5	15211;	19
S180970	22/June/2018	33.mp4	4	15263;	20
S180970	22/June/2018	18.mp4	4	24914;1539;	21
S180970	22/June/2018	28.mp4	3	21140;	22
S180970	22/June/2018	29.mp4	3	27497;	23
S180970	22/June/2018	19.mp4	4	24254;	24
S180970	22/June/2018	5.mp4	3	38557;2091;	25
S180970	22/June/2018	20.mp4	4	35178;2710;	26
S180970	22/June/2018	17.mp4	5	32881;2131;	27
S180970	22/June/2018	13.mp4	4	17916;1808;	28
S180970	22/June/2018	25.mp4	5	15358;1720;	29
S180970	22/June/2018	15.mp4	5	12916;2247;	30
S180970	22/June/2018	24.mp4	5	19967;	31
S180970	22/June/2018	26.mp4	5	17630;	32
S180970	22/June/2018	7.mp4	2	37758;1719;	33
S180970	22/June/2018	35.mp4	3	19599;	34
S180970	22/June/2018	6.mp4	1	65376;3675;	35
S22003768	29/June/2018	1.mp4	4	19189;3316;	1
S22003768	29/June/2018	2.mp4	3	21571;	2
S22003768	29/June/2018	3.mp4	3	2686;	3
S22003768	29/June/2018	15.mp4	5	13843;	4
S22003768	29/June/2018	7.mp4	4	54111;	5
S22003768	29/June/2018	8.mp4	4	30989;	6
S22003768	29/June/2018	21.mp4	5	18451;	7
S22003768	29/June/2018	4.mp4	3	39587;12126;	8
S22003768	29/June/2018	17.mp4	5	16600;4201;	9
S22003768	29/June/2018	23.mp4	4	21583;5895;	10
S22003768	29/June/2018	22.mp4	5	18550;7541;	11
S22003768	29/June/2018	18.mp4	4	26259;1888;	12
S22003768	29/June/2018	13.mp4	5	18492;	13
S22003768	29/June/2018	11.mp4	3	38179;13077;	14
S22003768	29/June/2018	20.mp4	5	24029;8703;	15
S22003768	29/June/2018	28.mp4	3	15300;	16
S22003768	29/June/2018	12.mp4	5	20105;	17
S22003768	29/June/2018	30.mp4	3	12137;	18
S22003768	29/June/2018	34.mp4	4	13520;	19
S22003768	29/June/2018	10.mp4	5	28592;11743;	20
S22003768	29/June/2018	33.mp4	3	14967;	21
S22003768	29/June/2018	26.mp4	5	13833;	22
S22003768	29/June/2018	29.mp4	4	10188;	23
S22003768	29/June/2018	31.mp4	4	12561;1927;	24
S22003768	29/June/2018	27.mp4	5	15035;	25
S22003768	29/June/2018	5.mp4	1	39239;1623;	26
S22003768	29/June/2018	14.mp4	4	51661;	27
S22003768	29/June/2018	24.mp4	4	17841;	28
S22003768	29/June/2018	9.mp4	3	40814;3670;	29
S22003768	29/June/2018	6.mp4	1	79085;	30
S22003768	29/June/2018	32.mp4	3	14402;	31
S22003768	29/June/2018	25.mp4	5	16504;	32
S22003768	29/June/2018	19.mp4	4	25879;	33
S22003768	29/June/2018	35.mp4	3	13656;	34
S22003768	29/June/2018	16.mp4	3	26911;	35
S220360	22/June/2018	1.mp4	3	27301;6239;	1
S220360	22/June/2018	2.mp4	3	22281;	2
S220360	22/June/2018	3.mp4	2	1303;	3
S220360	22/June/2018	16.mp4	3	26932;3144;	4
S220360	22/June/2018	9.mp4	2	41519;2578;	5
S220360	22/June/2018	18.mp4	4	24095;1255;	6
S220360	22/June/2018	12.mp4	3	22610;1024;	7
S220360	22/June/2018	7.mp4	1	38153;	8
S220360	22/June/2018	5.mp4	1	43639;	9
S220360	22/June/2018	6.mp4	1	64878;2119;	10
S220360	22/June/2018	34.mp4	3	25020;	11
S220360	22/June/2018	14.mp4	4	20861;2327;	12
S220360	22/June/2018	15.mp4	4	11562;1617;	13
S220360	22/June/2018	25.mp4	4	15810;840;	14
S220360	22/June/2018	26.mp4	4	12647;	15
S220360	22/June/2018	23.mp4	4	19853;1120;	16
S220360	22/June/2018	21.mp4	4	18388;	17
S220360	22/June/2018	33.mp4	3	15044;	18
S220360	22/June/2018	29.mp4	3	9642;	19
S220360	22/June/2018	31.mp4	2	16370;	20
S220360	22/June/2018	35.mp4	2	12529;	21
S220360	22/June/2018	17.mp4	3	13985;	22
S220360	22/June/2018	4.mp4	1	39639;784;	23
S220360	22/June/2018	20.mp4	4	21602;	24
S220360	22/June/2018	22.mp4	3	18771;2792;	25
S220360	22/June/2018	11.mp4	2	38493;	26
S220360	22/June/2018	30.mp4	4	11109;	27
S220360	22/June/2018	24.mp4	3	16605;	28
S220360	22/June/2018	13.mp4	4	18437;	29
S220360	22/June/2018	10.mp4	3	28712;	30
S220360	22/June/2018	27.mp4	3	16435;	31
S220360	22/June/2018	28.mp4	4	15260;	32
S220360	22/June/2018	8.mp4	3	28239;	33
S220360	22/June/2018	19.mp4	4	24641;	34
S220360	22/June/2018	32.mp4	4	11981;	35
S243110	22/June/2018	1.mp4	5	20326;17609;	1
S243110	22/June/2018	2.mp4	2	22465;1423;	2
S243110	22/June/2018	3.mp4	1	1541;	3
S243110	22/June/2018	4.mp4	1	39561;453;	4
S243110	22/June/2018	24.mp4	5	19078;	5
S243110	22/June/2018	13.mp4	5	20099;1487;	6
S243110	22/June/2018	17.mp4	5	13400;361;	7
S243110	22/June/2018	33.mp4	4	18394;	8
S243110	22/June/2018	16.mp4	5	33948;7592;	9
S243110	22/June/2018	11.mp4	2	53062;	10
S243110	22/June/2018	14.mp4	1	21451;1610;	11
S243110	22/June/2018	21.mp4	2	20998;	12
S243110	22/June/2018	9.mp4	3	41025;1873;	13
S243110	22/June/2018	12.mp4	2	20023;1260;	14
S243110	22/June/2018	6.mp4	1	67966;2676;	15
S243110	22/June/2018	10.mp4	3	30124;433;	16
S243110	22/June/2018	5.mp4	4	39466;1184;	17
S243110	22/June/2018	23.mp4	5	19563;1283;	18
S243110	22/June/2018	35.mp4	3	16734;	19
S243110	22/June/2018	34.mp4	3	20275;	20
S243110	22/June/2018	20.mp4	4	24626;1356;	21
S243110	22/June/2018	8.mp4	1	29590;4699;	22
S243110	22/June/2018	7.mp4	3	43402;1597;	23
S243110	22/June/2018	26.mp4	5	14701;	24
S243110	22/June/2018	29.mp4	2	14119;	25
S243110	22/June/2018	19.mp4	5	27883;	26
S243110	22/June/2018	25.mp4	5	15065;1242;	27
S243110	22/June/2018	27.mp4	5	13098;	28
S243110	22/June/2018	30.mp4	2	10658;	29
S243110	22/June/2018	32.mp4	5	15510;	30
S243110	22/June/2018	18.mp4	5	24295;529;	31
S243110	22/June/2018	28.mp4	4	14739;	32
S243110	22/June/2018	15.mp4	2	14697;1365;	33
S243110	22/June/2018	31.mp4	2	12679;1131;	34
S243110	22/June/2018	22.mp4	5	17015;391;	35
S26412344	29/June/2018	1.mp4	3	24716;	1
S26412344	29/June/2018	2.mp4	3	23681;	2
S26412344	29/June/2018	3.mp4	2	1896;	3
S26412344	29/June/2018	22.mp4	4	18870;	4
S26412344	29/June/2018	35.mp4	1	22807;	5
S26412344	29/June/2018	9.mp4	3	40910;	6
S26412344	29/June/2018	29.mp4	1	14184;	7
S26412344	29/June/2018	24.mp4	4	17767;	8
S26412344	29/June/2018	18.mp4	3	25235;	9
S26412344	29/June/2018	17.mp4	5	17243;	10
S26412344	29/June/2018	33.mp4	1	15446;	11
S26412344	29/June/2018	8.mp4	2	29279;	12
S26412344	29/June/2018	19.mp4	4	25869;	13
S26412344	29/June/2018	15.mp4	5	16830;	14
S26412344	29/June/2018	12.mp4	3	22526;	15
S26412344	29/June/2018	6.mp4	1	-3533895;	16
S26412344	29/June/2018	20.mp4	4	23144;	17
S26412344	29/June/2018	26.mp4	4	448864;	18
S26412344	29/June/2018	10.mp4	2	28134;	19
S26412344	29/June/2018	23.mp4	4	21166;	20
S26412344	29/June/2018	34.mp4	1	13815;	21
S26412344	29/June/2018	28.mp4	1	14243;	22
S26412344	29/June/2018	32.mp4	1	16193;	23
S26412344	29/June/2018	25.mp4	5	16230;	24
S26412344	29/June/2018	16.mp4	4	27157;	25
S26412344	29/June/2018	31.mp4	2	15070;	26
S26412344	29/June/2018	11.mp4	2	39037;	27
S26412344	29/June/2018	13.mp4	3	19918;	28
S26412344	29/June/2018	5.mp4	1	39003;	29
S26412344	29/June/2018	14.mp4	3	19174;	30
S26412344	29/June/2018	27.mp4	5	14095;	31
S26412344	29/June/2018	30.mp4	4	11750;	32
S26412344	29/June/2018	7.mp4	1	36925;	33
S26412344	29/June/2018	21.mp4	5	16662;	34
S26412344	29/June/2018	4.mp4	1	40547;	35
S268086	22/June/2018	1.mp4	3	16326;	1
S268086	22/June/2018	2.mp4	3	31088;3625;	2
S268086	22/June/2018	3.mp4	3	2196;	3
S268086	22/June/2018	7.mp4	3	38893;19906;	4
S268086	22/June/2018	16.mp4	3	26447;49166;	5
S268086	22/June/2018	22.mp4	4	34862;	6
S268086	22/June/2018	35.mp4	3	19687;	7
S268086	22/June/2018	6.mp4	1	65384;31887;	8
S268086	22/June/2018	30.mp4	3	25472;	9
S268086	22/June/2018	11.mp4	2	38718;2794;	10
S268086	22/June/2018	27.mp4	4	16136;	11
S268086	22/June/2018	24.mp4	4	22242;	12
S268086	22/June/2018	21.mp4	3	28490;	13
S268086	22/June/2018	28.mp4	2	15157;	14
S268086	22/June/2018	26.mp4	4	12194;	15
S268086	22/June/2018	18.mp4	4	24040;3411;	16
S268086	22/June/2018	14.mp4	4	20403;	17
S268086	22/June/2018	12.mp4	4	21307;	18
S268086	22/June/2018	13.mp4	4	35553;3180;	19
S268086	22/June/2018	31.mp4	4	23354;	20
S268086	22/June/2018	15.mp4	5	12572;2764;	21
S268086	22/June/2018	19.mp4	4	24583;	22
S268086	22/June/2018	25.mp4	4	21429;	23
S268086	22/June/2018	4.mp4	2	44305;18107;	24
S268086	22/June/2018	29.mp4	3	10818;	25
S268086	22/June/2018	8.mp4	3	38517;2484;	26
S268086	22/June/2018	32.mp4	3	12812;	27
S268086	22/June/2018	9.mp4	3	43433;1520;	28
S268086	22/June/2018	10.mp4	4	31584;	29
S268086	22/June/2018	17.mp4	4	16005;	30
S268086	22/June/2018	33.mp4	3	24640;	31
S268086	22/June/2018	20.mp4	4	22442;3691;	32
S268086	22/June/2018	23.mp4	3	23537;	33
S268086	22/June/2018	5.mp4	3	41350;2841;	34
S268086	22/June/2018	34.mp4	4	17491;	35
S269946	22/June/2018	1.mp4	5	18307;	1
S269946	22/June/2018	2.mp4	5	26429;	2
S269946	22/June/2018	3.mp4	5	2875;	3
S269946	22/June/2018	9.mp4	5	43475;6842;	4
S269946	22/June/2018	33.mp4	4	15750;	5
S269946	22/June/2018	27.mp4	4	14807;	6
S269946	22/June/2018	11.mp4	2	38222;1769;	7
S269946	22/June/2018	32.mp4	3	15086;	8
S269946	22/June/2018	15.mp4	5	12343;	9
S269946	22/June/2018	30.mp4	3	22278;	10
S269946	22/June/2018	35.mp4	3	14480;	11
S269946	22/June/2018	34.mp4	3	13180;	12
S269946	22/June/2018	5.mp4	2	38593;	13
S269946	22/June/2018	21.mp4	4	19483;	14
S269946	22/June/2018	16.mp4	4	25404;	15
S269946	22/June/2018	25.mp4	4	15562;	16
S269946	22/June/2018	22.mp4	3	17901;	17
S269946	22/June/2018	7.mp4	2	37254;42743;	18
S269946	22/June/2018	4.mp4	2	40391;	19
S269946	22/June/2018	6.mp4	1	64052;30454;	20
S269946	22/June/2018	23.mp4	5	20857;	21
S269946	22/June/2018	13.mp4	5	18831;	22
S269946	22/June/2018	26.mp4	3	12643;	23
S269946	22/June/2018	19.mp4	4	27641;	24
S269946	22/June/2018	8.mp4	3	34463;	25
S269946	22/June/2018	31.mp4	3	13796;	26
