subject	date	age	gender	CRT	quiz	incoherent	code	comment
S100307	22/June/2018	40	 F	3	1	0	?	 By how quickly they got to the target, and how many black squares they revealed along the way
S155074	22/June/2018	29	 M	2	1	0	O	 Faster they moved and solved it higher I would rate them.
S15951481	29/June/2018	38	 M	3	0	0	P	I tried to notice how quickly they corrected wrong paths, how many times they had to backtrack or repeated already covered ground.
S161305	22/June/2018	37	 M	1	1	0	O	Efficient path choices with minimal movement to explore.
S17111907	29/June/2018	29	 F	1	1	0	P	I based it off of their strategy. If they went to rooms that had fewer moves but uncovered more tiles first, I felt like they were thinking ahead of time
S180970	22/June/2018	31	 M	0	1	0	O	 Thanks, it was fun  Whether or not the user went into rooms first that had a wall in them, also if they backtracked any spots they were already at.
S22003768	29/June/2018	37	 F	2	1	0	O	By how many times somebody made a mistake and also how long it took to make a move
S220360	22/June/2018	37	 F	1	1	0	O	I looked at whether the player took the path that would lead them to the exit with the least amount of moves and whether or not the player went to unnecessary areas/already uncovered areas looking for the exit
S243110	22/June/2018	20	 M	3	1	0	P	When faced with a decision, did they take the path that gave them a better chance of finding the exit? Did they backtrack? Did they go to unnecessary spots?
S26412344	29/June/2018	32	 M	2	1	0	?	I looked at the path that they took
S268086	22/June/2018	26	 M	1	1	0	O	Based on how long it took them to get
S269946	22/June/2018	31	 M	0	1	0	O	 Fun!  If they took the shortest path
S276170	22/June/2018	33	 m	2	1	0	P	if they took the shortest path to cover the most ground without backtracking
S278591	22/June/2018	30	 M	3	1	0	P	I made it based on efficiency of uncovering the greater amount of black squares. I didn't really take into account how long it took them to find red, but more about whether they took moves to uncover more black squares efficiently
S291923	22/June/2018	33	 M	2	1	0	P	I used the course for answers. Which ever revealed the most black spaces was the best possible path.
S295043	22/June/2018	51	 F	0	1	0	O	 I judged by how many moves it took them
S31377411	26/June/2018	30	 F	2	1	0	O	I thought slow to figure it out = 1, whereas quick to find the spot = 5. I don't think intelligence actually has anything to do with it.
S33485765	26/June/2018	34	 M	1	1	0	P	 Good luck with your research! This was a fun and engaging task. I enjoyed it.  I think of intelligence in many ways. There's obvious academic intelligence, but in terms of these mazes, I think there was strategy involved for some that cued signs of intelligence. They were careful only to make as many moves as necessary to open up the area from the black squares. I think it is intelligent to explore and show curiosity as well. So, even if some people didn't find the exit right away, they showed a high level of curiosity which I believe is definitely a sign of intellect. The only people I rated low on intelligence chose to explore through a path already exposed with no sign of the exit in view. That would waste moves and shows a lack of strategy.
S356759	22/June/2018	38	 M	3	1	0	P	Taking routes that gave a look at the largest number of squares and also considering having to backtrack if it's in an unlikely spot. A good balance between these.
S359344	22/June/2018	27	 M	3	1	0	P	If they decided to backtrack on spaces they've already seen and skipping closer corridors
S36225400	29/June/2018	34	 F	0	0	0	O	I tried to remember a similar layout someone else tried to do and guess from that how the other person would do.
S368541	22/June/2018	26	 F	2	1	0	O	 Good study.  I thought about how quickly they were able to find the goal and how much time they &quot;wasted.&quot;
S421533	22/June/2018	23	 F	0	1	0	O	The patch that were taken and how long it took
S45086617	26/June/2018	28	 F	0	1	1	O	observing the movement that
S45559	22/June/2018	64	 M	2	1	0	?	whether there was a systematic exploration
S49340775	26/June/2018	23	 M	0	0	0	P	I thought about the risk reward of the person playing; how likely a block of squares was likely to contain the ending versus how many turns it would cost them.
