trialID	fulltrial	condition	optimal_decisions	total_decisions	world	suboptimal_steps	tau	optimal_steps	suboptimal_steps_orig	optimal_steps_orig	steps	revisits	optfract	name	path
4.mp4	1	pseudo_random	4	8	cathedral2	8	0.02	24	10	20	30	7	0.8	4.mp4	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);p(6,4);p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);
5.mp4	1	pseudo_random	4	9	roomG2	9	0.02	24	9	20	29	6	0.8275862069	5.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);p(0,4);p(0,5);p(1,5);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(6,2);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);
6.mp4	1	pseudo_random	3	13	cubicles2	17	0.2	32	20	29	49	23	0.6530612245	6.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(4,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);p(0,7);p(1,7);p(1,6);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(3,3);p(3,2);p(3,1);p(4,1);p(4,0);p(4,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(4,7);p(5,7);
7.mp4	1	pseudo_random	6	21	labyrinth2	6	0.04	20	9	19	28	9	0.7142857143	7.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(1,3);p(0,3);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);
8.mp4	1	suboptimal_unlucky	3	4	tworooms2	2	0.01	19	7	14	21	5	0.9047619048	8.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);p(1,5);
9.mp4	1	suboptimal_unlucky	4	5	lab2	1	0.01	29	10	20	30	11	0.9666666667	9.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);p(0,3);
10.mp4	1	suboptimal_unlucky	1	4	ikea2	3	0.01	17	4	16	20	0	0.85	10.mp4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);p(0,6);p(0,7);p(1,7);p(2,7);p(3,7);p(4,7);p(5,7);p(5,6);
11.mp4	1	suboptimal_unlucky	1	4	museum2	3	0.02	26	12	17	29	10	0.8965517241	11.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);p(6,0);
12.mp4	1	suboptimal_lucky	0	2	bunker22	3	0.03	11	2	12	14	0	0.7857142857	12.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(4,4);p(5,4);p(5,5);p(5,6);p(5,7);p(4,7);
13.mp4	1	suboptimal_lucky	2	3	cubicles2	1	0.02	12	5	8	13	0	0.9230769231	13.mp4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(5,6);p(5,7);
