subject	date	incoherent	age	gender	edu	plancode	attribcode	beliefs	commentplan	commentattrib
S11135	26/October/2016	0	26	M	3	G	O	84	 Mostly random I guess. I just followed wherever the black squares were. Tried to cover the entire area and not skip any black spots and go in order.	How much backtracking they had, how they moved throughout the game.                 
S123177	21/October/2016	0	29	F	6	G	O	66	This was really fun. Great interface. Most possibilities with fewest moves. Also tested out the theory that in mazes, it's always best to keep turning in the same direction. 	 Based on if they made the fewest moves and didn't go back on steps.
S126242	28/October/2016	0	33	M	3	P	P	83	 It'd be nice if I could navigate using the arrows on my keyboard.  I tried to go for the space with the most amount of hidden boxes first so that I could clear the most area as quickly as possible.	Watch if they did unneeded moves, to areas that the exit was not seen. To see if they left spaces unseen when they may have looked at them without adding extra steps. To see if they gravitated towards clearing large areas first.
S14208	21/October/2016	0	26	F	6	P	P	94	I went to the closest unknown space with the largest number of unknown potential exits to maximize my chances of finding the exit square 	 -was the movement logical? (not going back unnecessarily through uncovered space) -maximizing chance of uncovering the exit by hitting large spaces with clear LOS -not weaving through areas to uncover single blocks when easily accessible large areas still exist
S156147	21/October/2016	0	24	M	6	G	O	50	 I tried to look at the maze and see what would be a good place to hide the square and check it out. 	 Based on how quickly they could figure out where the dot was, as well as any unnecessary moves they took.
S16432	28/October/2016	0	22	M	6	P	P	50	 I tried to minimize the expected number of steps.	 I estimated the expected number of steps shown in the video divided by the minimum expected number of stops possible.
S164546	26/October/2016	0	44	F	6	P	P	8	 I tried to see the areas that were closer to me first and then continued to the further away areas.	I watched to see where they went, if they went places that were obviously not the exit, or if they kept going around in circles. I thought they were intelligent if they worked systematically to minimize steps.
S166242	26/October/2016	0	32	F	6	G	O	74	 Interesting task.  i went with my gut to be honest. whatever felt right	 Thank You how many steps they took
S180888	26/October/2016	0	36	F	6	P	P	100	 At first I picked randomly, but then I changed my strategy and decided to instead investigate the closest squares first in case the red square was there.	I marked people high that first investigated the closest areas (and fully investigated that area), then moved onto the sections that were next closest, even if this strategy led to more moves than randomly picking an area to investigate.  I think it shows more intelligence to have a plan than to randomly pick and hope to get lucky in your pick.  Low scores were for people that just moved over areas repeatedly that were empty (no reason to keep exploring that section).
S185508	21/October/2016	0	29	M	6	?	?	86	 It think I can do a little better. 	 Whether or not unnecessary moves were made, for the most part.
S191334	26/October/2016	0	26	M	3	G	O	80	 Thank you!  Intuition	 Thank you, fun study! Based on skill and pattern.
S20545	26/October/2016	1	27	F	5	?	?	48	 none  I simply tried to get to the red square as fast as I could.	 n/a I watched the face and its movements
