subject	date	maze	trialNo	optimal_steps	steps_in_tree	steps	decisions	opt_decisions	path	times
S11135	26/October/2016	cathedral	4	16	18	20	6	5	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);	9387;712;1377;766;576;2432;688;1384;568;520;1312;456;528;488;504;1080;584;544;736;
S11135	26/October/2016	labyrinth3	5	15	16	19	3	2	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);p(1,2);p(0,2);	1618;575;544;1369;504;536;1920;600;1040;480;864;600;904;464;488;471;929;415;
S11135	26/October/2016	library	6	11	14	16	3	1	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	4271;552;728;569;1098;574;1696;552;480;1312;520;1224;375;465;855;
S11135	26/October/2016	tworooms	7	8	8	10	1	1	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(1,2);	1543;583;584;1008;568;544;1160;488;840;
S11135	26/October/2016	garden	8	21	21	24	5	5	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);p(7,0);	1259;464;1128;528;1640;552;904;432;1351;507;1015;465;545;551;600;1472;418;872;384;616;544;841;415;
S11135	26/October/2016	cubicles	9	9	9	13	4	4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(4,7);p(5,7);	1128;648;2831;545;688;743;1096;608;1656;1952;1152;488;
S11135	26/October/2016	ikea	10	16	16	21	4	4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);p(1,7);	1752;496;472;1144;425;472;848;512;927;1441;551;552;1432;600;736;440;864;528;528;504;
S11135	26/October/2016	lab	11	10	10	13	2	2	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	1303;511;696;728;1360;528;874;464;703;441;967;504;
S11135	26/October/2016	courtyard	12	5	5	7	2	2	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	1094;607;696;1368;456;960;
S11135	26/October/2016	bunker3	13	8	8	11	1	1	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);	1064;408;1488;544;568;616;1288;568;1112;527;
S11135	26/October/2016	roomG	14	13	13	17	3	3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	1290;663;528;704;1200;536;1360;568;960;536;568;664;1008;880;480;592;
S11135	26/October/2016	museum	15	6	6	9	2	2	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);p(6,0);	1196;616;728;1161;712;906;799;664;
S123177	21/October/2016	lab	4	26	30	33	10	7	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	4027;676;1991;630;29327;388;462;6868;440;1923;1220;402;598;8292;473;1219;348;1017;329;567;376;395;600;383;5491;566;985;393;540;350;614;449;
S123177	21/October/2016	tworooms	5	8	8	10	1	1	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(1,2);	2308;417;487;1180;427;464;9817;1201;922;
