subject	date	age	gender	firsttask	CRT	plancode	attribcode	bothcodes	incoherent	commentplan	commentattrib
S10581668	11/September/2018	27	F	attrib	2	P	NA	FALSE	0	 Tried to be as efficient as possible.	
S13479505	11/September/2018	30	F	attrib	2	P	NA	FALSE	0	 past with most black squares and not having to backtrack this was fun, thank you!	
S19738686	11/September/2018	30	M	attrib	2	P	NA	FALSE	0	 I tried to play the odds against the number of likely steps.	
S23202423	11/September/2018	27	F	plan	0	NA	?	FALSE	0		 how inefficient they were at choosing a path interesting task
S28676182	11/September/2018	33	F	plan	0	NA	O	FALSE	0		 if the person quickly found it and didn't go back and forth. also choosing to go to the furthest spot away first
S28706366	11/September/2018	30	M	attrib	3	P	NA	FALSE	0	 From closest to further exploration. Thank you!	
S33647498	11/September/2018	39	M	plan	1	NA	P	FALSE	0		 By attempting to see if there was a clear better choice or not (which really was not easy).
S40216585	11/September/2018	31	F	attrib	2	?	NA	FALSE	0	 The same as before. 	
S40667849	11/September/2018	30	M	plan	0	NA	?	FALSE	0		 How efficient their movement was, whether they wasted movement or not. 
S42638665	11/September/2018	38	F	plan	2	NA	P	FALSE	0		 I ranked them more intelligent if they seem logical about how the went. The ones who were wishy washy or illogical I ranked as less intelligent
S42855525	11/September/2018	25	M	plan	2	NA	P	FALSE	0		 During certain trials, you have a choice to eliminate more ground or guess and rely on luck.  The people that moved to cover more ground to get a more consistent lower step rate are the people that got higher intelligence ratings. Thank you for having me in this study, it was pretty fun!
S53339341	11/September/2018	36	F	plan	3	NA	P	FALSE	0		 I tried to look at efficiency and how many moves were wasted.
S56648877	11/September/2018	32	M	attrib	1	P	NA	FALSE	0	 I tried to uncover as many of the blacked out blocks in the least amount of moves possible until I uncovered the exit.	
S60844577	11/September/2018	32	M	plan	2	NA	P	FALSE	0		 Based on efficient use of moves. I never used speed to determine the evaluation of intelligence.
S63486682	11/September/2018	41	M	attrib	1	P	NA	FALSE	0	 I tried to decide where there was a higher chance of the end as well as the number of steps.	
