trialID	world	condition_code	condition	optimal_steps	steps	optfract	total_decisions	optimal_decisions	optdecisionfract	total_steps	path	showToKids	practice
kidsPractice1OL.mp4	kidsPractice1OL	OL	practice	2	2	1	1	1	1	8	p(6,1);p(7,1);p(8,1);p(9,1);p(9,2);p(9,3);p(9,4);p(9,5);	1	
courtOL.mp4	courtOL	OL	optimal_lucky	5	5	1	2	2	1	7	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	1	0
tworoomsOL.mp4	tworoomsOL	OL	optimal_lucky	4	4	1	NA	NA	1	8	p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);p(1,4);p(0,4);	0	0
gardenOL.mp4	gardenOL	OL	optimal_lucky	6	6	1	NA	NA	1	8	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(3,4);	1	0
whichway1OL.mp4	whichway1OL	OL	optimal_lucky	7	7	1	NA	NA	1	9	p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(1,1);p(1,2);p(0,2);p(0,3);	1	0
easyrw49OL.mp4	easyrw49OL	OL	optimal_lucky	4	4	1	NA	NA	1	10	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);	1	0
extremeOL10.mp4	extremeOL10	OL	optimal_lucky	4	4	1	NA	NA	1	11	p(4,6);p(3,6);p(2,6);p(2,5);p(1,5);p(1,4);p(1,3);p(1,2);p(1,1);p(1,0);p(0,0);	1	0
libraryOL.mp4	libraryOL	OL	optimal_lucky	9	9	1	NA	NA	1	11	p(6,2);p(6,3);p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);p(0,4);	0	0
kidsPractice2OUL.mp4	kidsPractice2OUL	OUL	practice	15	15	1	NA	NA	1	18	p(4,1);p(5,1);p(5,2);p(5,3);p(6,3);p(7,3);p(6,3);p(5,3);p(5,2);p(5,1);p(4,1);p(3,1);p(2,1);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);	1	1
courtOUL.mp4	courtOUL	OUL	optimal_unlucky	11	11	1	NA	NA	1	14	p(0,6);p(0,5);p(0,4);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,1);p(5,0);p(4,0);p(3,0);	1	0
tworoomsOUL.mp4	tworoomsOUL	OUL	optimal_unlucky	12	12	1	NA	NA	1	14	p(3,4);p(3,5);p(3,6);p(3,5);p(3,4);p(3,3);p(3,2);p(4,2);p(4,1);p(4,0);p(3,0);p(2,0);p(1,0);p(1,1);	0	0
whichway3OUL.mp4	whichway3OUL	OUL	optimal_unlucky	10	10	1	NA	NA	1	15	p(6,4);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);	1	0
easyrw49OUL.mp4	easyrw49OUL	OUL	optimal_unlucky	13	13	1	NA	NA	1	16	p(0,6);p(1,6);p(1,5);p(1,4);p(1,3);p(2,3);p(1,3);p(1,4);p(1,5);p(1,6);p(1,7);p(1,8);p(2,8);p(3,8);p(3,9);p(3,10);	1	0
