ip	date	time		subject	no	time	trialID	resp	condition	question
165.225.38.80	29/October/2018	01:54:38	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	0	t(9,54,33,313);t(9,54,38,786);	7	10	self	Starting_your_own_busines
165.225.38.80	29/October/2018	01:54:46	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	1	t(9,54,39,37);t(9,54,46,210);	12	1	self	Joining_a_political_movem
165.225.38.80	29/October/2018	01:54:51	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	2	t(9,54,46,336);t(9,54,51,395);	9	1	self	Moving_to_an_isolated_isl
165.225.38.80	29/October/2018	01:55:04	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	3	t(9,54,51,523);t(9,55,4,242);	29	10	self	Deciding_to_have_children
165.225.38.80	29/October/2018	01:55:07	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	4	t(9,55,4,604);t(9,55,7,306);	18	1	self	Leaving_your_community,_w
165.225.38.80	29/October/2018	01:55:10	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	5	t(9,55,7,746);t(9,55,10,211);	2	10	self	Moving_to_a_job_1200_mile
165.225.38.80	29/October/2018	01:55:14	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	6	t(9,55,10,940);t(9,55,14,809);	25	10	self	Using_a_drug_that_increas
165.225.38.80	29/October/2018	01:55:17	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	7	t(9,55,15,14);t(9,55,17,402);	32	1	self	Volunteering_at_a_soup_ki
165.225.38.80	29/October/2018	01:55:20	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	8	t(9,55,17,504);t(9,55,19,986);	11	1	self	Joining_the_army.&lt;br&g
165.225.38.80	29/October/2018	01:55:24	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	9	t(9,55,20,348);t(9,55,24,26);	24	10	self	Accepting_a_well-paying_j
165.225.38.80	29/October/2018	01:55:26	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	10	t(9,55,24,133);t(9,55,26,610);	19	10	self	Using_a_drug_that_makes_y
165.225.38.80	29/October/2018	01:55:31	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	11	t(9,55,27,153);t(9,55,31,168);	22	10	self	Getting_married_to_the_pe
165.225.38.80	29/October/2018	01:55:35	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	12	t(9,55,31,576);t(9,55,35,448);	20	10	self	Dropping_out_of_college_b
165.225.38.80	29/October/2018	01:55:39	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	13	t(9,55,35,992);t(9,55,38,704);	1	1	self	Moving_to_a_remote_countr
165.225.38.80	29/October/2018	01:55:57	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	14	t(9,55,39,388);t(9,55,57,449);	6	1	self	Going_on_a_two-month_hiki
165.225.38.80	29/October/2018	01:56:16	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	15	t(9,55,57,565);t(9,56,16,809);	8	6	self	Ending_a_relationship_tha
165.225.38.80	29/October/2018	01:56:21	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	16	t(9,56,17,257);t(9,56,20,731);	16	10	self	Joining_a_new_program_in_
165.225.38.80	29/October/2018	01:56:27	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	17	t(9,56,21,421);t(9,56,27,520);	5	1	self	Becoming_a_volunteer_prim
165.225.38.80	29/October/2018	01:56:37	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	18	t(9,56,27,679);t(9,56,37,760);	33	10	self	Shoplifting_something_fro
165.225.38.80	29/October/2018	01:56:58	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	19	t(9,56,38,317);t(9,56,57,721);	21	1	self	Dropping_out_of_college_b
165.225.38.80	29/October/2018	01:57:03	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	20	t(9,56,58,410);t(9,57,3,344);	27	1	self	Deciding_to_spend_6_hours
165.225.38.80	29/October/2018	01:57:12	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	21	t(9,57,3,466);t(9,57,12,608);	15	1	self	Getting_a_graduate_degree
165.225.38.80	29/October/2018	01:57:35	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	22	t(9,57,13,323);t(9,57,35,233);	34	10	self	Undertaking_a_drastic_cha
165.225.38.80	29/October/2018	01:57:59	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	23	t(9,57,35,994);t(9,57,58,968);	28	1	self	Leaving_your_friends_behi
165.225.38.80	29/October/2018	01:58:04	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	24	t(9,57,59,569);t(9,58,3,928);	14	10	self	Being_the_first_person_in
165.225.38.80	29/October/2018	01:58:11	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	25	t(9,58,4,374);t(9,58,11,111);	30	1	self	Deciding_to_never_have_ki
165.225.38.80	29/October/2018	01:58:15	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	26	t(9,58,11,234);t(9,58,15,255);	26	10	self	Taking_up_a_professional_
165.225.38.80	29/October/2018	01:58:19	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	27	t(9,58,15,419);t(9,58,18,912);	31	1	self	A_person_you_love_is_suff
165.225.38.80	29/October/2018	01:58:22	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	28	t(9,58,19,69);t(9,58,22,503);	4	1	self	Selling_or_giving_away_al
165.225.38.80	29/October/2018	01:58:26	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	29	t(9,58,22,657);t(9,58,26,118);	10	1	self	Joining_a_spiritual_organ
165.225.38.80	29/October/2018	01:58:43	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	30	t(9,58,26,274);t(9,58,43,127);	13	10	self	Turning_down_the_chance_t
165.225.38.80	29/October/2018	01:58:51	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	31	t(9,58,43,255);t(9,58,51,278);	17	1	self	Undergoing_a_laser_eye-su
165.225.38.80	29/October/2018	01:58:57	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	32	t(9,58,51,708);t(9,58,56,806);	3	1	self	Taking_up_a_job_in_Antarc
165.225.38.80	29/October/2018	01:59:34	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	33	t(9,58,57,326);t(9,59,34,55);	23	1	self	Focusing_your_efforts_on_
165.225.38.80	29/October/2018	01:59:56	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	0	t(9,59,43,496);t(9,59,56,325);	2	1	other	Moving_to_a_job_1200_mile
165.225.38.80	29/October/2018	02:00:00	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	1	t(9,59,57,5);t(9,59,59,950);	20	10	other	Dropping_out_of_college_b
165.225.38.80	29/October/2018	02:00:04	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	2	t(10,0,0,794);t(10,0,4,541);	8	10	other	Ending_a_relationship_tha
165.225.38.80	29/October/2018	02:00:18	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	3	t(10,0,4,964);t(10,0,18,541);	21	10	other	Dropping_out_of_college_b
165.225.38.80	29/October/2018	02:00:33	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	4	t(10,0,19,42);t(10,0,32,910);	13	1	other	Turning_down_the_chance_t
165.225.38.80	29/October/2018	02:00:36	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	5	t(10,0,33,454);t(10,0,36,461);	28	10	other	Leaving_friends_behind,_b
165.225.38.80	29/October/2018	02:00:39	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	6	t(10,0,36,812);t(10,0,39,613);	9	10	other	Moving_to_an_isolated_isl
165.225.38.80	29/October/2018	02:00:57	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	7	t(10,0,39,936);t(10,0,57,492);	30	10	other	Deciding_to_never_have_ki
165.225.38.80	29/October/2018	02:01:04	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	8	t(10,0,58,112);t(10,1,3,949);	23	1	other	Focusing_their_efforts_on
165.225.38.80	29/October/2018	02:01:08	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	9	t(10,1,4,84);t(10,1,7,789);	24	10	other	Accepting_a_well-paying_j
165.225.38.80	29/October/2018	02:01:11	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	10	t(10,1,8,267);t(10,1,11,108);	25	10	other	Using_a_drug_that_increas
165.225.38.80	29/October/2018	02:01:15	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	11	t(10,1,11,969);t(10,1,14,813);	33	10	other	Shoplifting_something_fro
165.225.38.80	29/October/2018	02:01:53	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	12	t(10,1,15,358);t(10,1,53,341);	6	1	other	Going_on_a_two-month_hiki
165.225.38.80	29/October/2018	02:01:56	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	13	t(10,1,53,641);t(10,1,56,684);	18	10	other	Leaving_their_community,_
165.225.38.80	29/October/2018	02:01:59	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	14	t(10,1,56,903);t(10,1,59,660);	16	10	other	Joining_a_new_program_in_
165.225.38.80	29/October/2018	02:02:02	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	15	t(10,1,59,964);t(10,2,1,844);	19	10	other	Using_a_drug_that_makes_t
165.225.38.80	29/October/2018	02:02:05	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	16	t(10,2,2,171);t(10,2,5,155);	27	1	other	Deciding_to_spend_6_hours
165.225.38.80	29/October/2018	02:02:22	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	17	t(10,2,5,345);t(10,2,22,571);	34	10	other	Going_on_a_weekend_trip_t
165.225.38.80	29/October/2018	02:02:26	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	18	t(10,2,23,294);t(10,2,26,236);	10	10	other	Joining_a_spiritual_organ
165.225.38.80	29/October/2018	02:02:28	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	19	t(10,2,26,666);t(10,2,28,315);	11	10	other	Joining_the_army.&lt;br&g
165.225.38.80	29/October/2018	02:02:32	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	20	t(10,2,28,685);t(10,2,32,387);	7	1	other	Starting_their_own_busine
165.225.38.80	29/October/2018	02:02:35	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	21	t(10,2,32,822);t(10,2,35,429);	26	10	other	Taking_up_a_professional_
165.225.38.80	29/October/2018	02:02:38	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/64.0.3282.119_Safari/537.36	11008330440000000	22	t(10,2,35,649);t(10,2,38,51);	15	1	other	Getting_a_graduate_degree
